#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-12T12:56:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-12T12:56:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=V%2f50%2fcatalog&-out.max=unlimited&-out=HR%2cName%2cHD%2cVmag%2cB-V&-out.add=_RAJ2000%2c_DEJ2000&-oc.form=dec	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000	_DEJ2000	HR	Name	HD	Vmag	B-V
157.219167	-64.172222	4120	          	 91056	 5.29	 1.86
159.007083	+80.494444	4121	          	 91075	 6.52	 0.95
157.744583	 -7.637500	4122	          	 91106	 6.20	 1.38
157.749167	-13.588333	4123	          	 91120	 5.58	-0.04
157.964167	+32.379444	4124	 33    LMi	 91130	 5.90	 0.11
157.714167	-26.483889	4125	          	 91135	 6.51	 0.54
158.772917	+75.713056	4126	          	 91190	 4.84	 0.96
158.049167	+14.137222	4127	 46    Leo	 91232	 5.46	 1.68
157.663333	-61.356111	4128	          	 91270	 6.43	 1.76
157.536250	-66.985000	4129	          	 91272	 6.19	 0.01
157.952500	-28.237500	4130	          	 91280	 6.05	 0.51
158.431667	+53.497500	4131	          	 91311	 6.45	
158.307917	+40.425556	4132	          	 91312	 4.75	 0.23
158.202917	 +9.306667	4133	 47Rho Leo	 91316	 3.85	-0.14
157.840833	-53.715556	4134	          	 91324	 4.89	 0.50
157.989583	-45.066667	4135	          	 91355	 5.74	-0.15
157.985833	-45.069444	4136	          	 91356	 6.09	-0.11
158.378750	+34.988611	4137	 34    LMi	 91365	 5.58	 0.02
157.583750	-71.993056	4138	          	 91375	 4.74	 0.04
158.140000	-44.618889	4139	          	 91437	 5.91	 0.92
158.005833	-61.685278	4140	          	 91465	 3.32	-0.09
158.790417	+57.082778	4141	 37    UMa	 91480	 5.16	 0.34
157.758333	-73.221667	4142	          	 91496	 4.93	 1.68
158.237083	-47.003333	4143	          	 91504	 5.02	 1.04
158.198333	-58.666944	4144	          	 91533	 6.00	 0.32
158.503750	-23.745278	4145	 44    Hya	 91550	 5.08	 1.60
158.700000	 +6.953611	4146	 48    Leo	 91612	 5.08	 0.94
158.355417	-58.190278	4147	          	 91619	 6.14	 0.35
158.759167	 +8.650278	4148	 49    Leo	 91636	 5.67	 0.05
158.740417	-23.176111	4149	          	 91706	 6.10	 0.50
159.089167	+36.326944	4150	 35    LMi	 91752	 6.28	 0.39
158.553750	-60.987778	4151	          	 91767	 6.23	 1.40
158.912083	-18.569167	4152	          	 91790	 6.49	 0.20
158.803750	-39.562778	4153	          	 91793	 5.38	 2.88
158.793750	-43.664722	4154	          	 91805	 6.08	 0.94
159.072500	-10.583333	4155	          	 91858	 6.57	 0.29
159.069583	-16.344444	4156	   Phi2Hya	 91880	 6.03	 1.65
159.019167	-26.675000	4157	          	 91881	 6.29	 0.48
159.135000	-12.230278	4158	          	 91889	 5.70	 0.52
158.897083	-57.557778	4159	          	 91942	 4.45	 1.62
159.298333	-11.748611	4160	          	 91992	 6.52	 0.29
157.962500	-81.921111	4161	          	 92029	 7.07	-0.08
159.307083	-27.412500	4162	          	 92036	 4.89	 1.62
159.388333	-13.384444	4163	          	 92055	 4.82	 2.68
159.084583	-59.564722	4164	          	 92063	 5.08	 1.18
159.773750	+53.668333	4165	          	 92095	 5.52	 1.27
159.680000	+31.976111	4166	 37    LMi	 92125	 4.71	 0.81
159.325417	-48.225833	4167	          	 92139	 3.84	 0.30
159.781667	+37.910000	4168	 38    LMi	 92168	 5.85	 0.57
159.361667	-58.733333	4169	          	 92207	 5.45	 0.50
158.853333	-76.309167	4170	          	 92209	 6.30	 1.20
159.645833	-16.876667	4171	   Phi3Hya	 92214	 4.91	 0.92
159.710000	-12.443611	4172	          	 92245	 6.04	 0.00
159.510417	-57.256389	4173	          	 92287	 5.91	-0.14
158.867083	-78.607778	4174	   Gam Cha	 92305	 4.11	 1.58
159.709583	-42.753611	4175	          	 92328	 6.11	 0.66
160.451250	+68.443333	4176	          	 92354	 5.75	 1.30
159.687917	-59.183056	4177	          	 92397	 4.66	 1.48
160.485833	+65.716389	4178	 38    UMa	 92424	 5.12	 1.20
159.747500	-58.816944	4179	          	 92436	 5.92	 1.65
159.826667	-55.603333	4180	          	 92449	 4.28	 1.04
160.767083	+69.076111	4181	          	 92523	 5.00	 1.38
160.350833	 -1.741667	4182	 33    Sex	 92588	 6.26	 0.88
160.215000	-35.741667	4183	          	 92589	 6.37	 0.92
160.547083	+31.696944	4184	          	 92620	 6.02	 1.62
160.047083	-65.100556	4185	          	 92664	 5.52	-0.16
159.819167	-74.493611	4186	          	 92682	 6.07	 1.71
160.930417	+57.199167	4187	 39    UMa	 92728	 5.80	-0.02
160.323333	-59.676944	4188	          	 92740	 6.42	 0.08
160.757500	+26.325556	4189	 40    LMi	 92769	 5.51	 0.17
160.630417	-13.975000	4190	          	 92770	 6.24	 1.54
160.887083	+46.203889	4191	          	 92787	 5.18	 0.33
160.854167	+23.188333	4192	 41    LMi	 92825	 5.08	 0.04
160.837083	 +4.747778	4193	 35    Sex	 92841	 5.79	 1.17
160.680000	-32.715833	4194	          	 92845	 5.64	 0.00
161.266667	+67.411389	4195	          	 92839	 6.00	 2.39
160.558333	-64.466389	4196	          	 92938	 4.82	-0.14
161.060417	+19.758611	4197	          	 92941	 6.27	 0.17
160.669167	-59.215833	4198	          	 92964	 5.38	 0.26
160.739167	-64.394444	4199	   The Car	 93030	 2.76	-0.22
160.883750	-60.566667	4200	          	 93070	 4.57	 1.71
161.289167	 +2.488056	4201	 36    Sex	 93102	 6.28	 1.21
161.593750	+57.365833	4202	 41    UMa	 93132	 6.34	 1.56
161.466250	+30.682222	4203	 42    LMi	 93152	 5.24	-0.06
160.963333	-64.248889	4204	          	 93163	 5.77	 0.00
161.028750	-63.961111	4205	          	 93194	 4.82	-0.13
160.463750	-79.783333	4206	          	 93237	 5.97	-0.07
161.523750	 +6.373056	4207	          	 93244	 6.37	 1.12
161.602083	+18.891389	4208	 51    Leo	 93257	 5.49	 1.12
161.605417	+14.194722	4209	 52    Leo	 93291	 5.48	 0.91
161.265000	-59.684167	4210	   Eta Car	 93308	 6.21	 0.61
161.080833	-70.860000	4211	          	 93344	 6.26	 0.20
161.133750	-70.855000	4212	          	 93359	 6.46	 0.23
161.110417	-72.443889	4213	          	 93372	 6.27	 0.49
161.716667	-17.296667	4214	          	 93397	 5.42	 0.11
162.208333	+65.132222	4215	          	 93427	 6.39	-0.02
161.692500	-49.420000	4216	   Mu  Vel	 93497	 2.69	 0.90
161.570000	-60.603333	4217	          	 93502	 6.25	 0.04
161.908333	-15.261944	4218	          	 93526	 6.67	-0.01
161.568750	-64.515000	4219	          	 93540	 5.34	-0.10
161.623750	-64.263333	4220	          	 93549	 5.23	-0.07
161.739583	-56.757222	4221	          	 93563	 5.23	-0.08
161.713333	-64.383333	4222	          	 93607	 4.85	-0.15
162.238333	+29.415833	4223	 43    LMi	 93636	 6.15	 1.15
162.169167	 -1.958889	4224	          	 93655	 5.93	 1.60
162.059167	-31.688333	4225	          	 93657	 5.88	 0.03
161.911250	-57.467778	4226	          	 93662	 6.36	 1.62
162.314167	+10.545278	4227	 53    Leo	 93702	 5.34	 0.03
162.022500	-59.919167	4228	          	 93737	 6.00	 0.27
162.322083	 -4.024167	4229	 40    Sex	 93742	 6.61	 0.22
162.473750	+27.973889	4230	 44    LMi	 93765	 6.04	 0.37
161.315417	-80.469722	4231	   Del1Cha	 93779	 5.47	 0.95
162.406250	-16.193611	4232	   Nu  Hya	 93813	 3.11	 1.25
162.431250	 -9.852778	4233	          	 93833	 5.86	 1.07
161.445000	-80.540278	4234	   Del2Cha	 93845	 4.45	-0.19
162.796250	+56.582222	4235	 43    UMa	 93859	 5.67	 1.12
162.848750	+59.320000	4236	 42    UMa	 93875	 5.58	 1.14
162.575417	 -8.897778	4237	 41    Sex	 93903	 5.79	 0.16
162.487500	-34.058056	4238	          	 93905	 5.61	 0.04
162.350417	-59.323611	4239	          	 93943	 5.91	 0.00
162.772500	 -3.092500	4240	          	 94014	 5.95	 1.48
163.128333	+52.565278	4241	          	 94083	 6.65	
163.132917	+52.503611	4242	          	 94084	 6.44	 1.11
163.377917	+69.853889	4243	          	 94132	 5.93	 0.99
163.057083	 +1.025278	4244	          	 94180	 6.38	 0.08
163.150417	 -0.201389	4245	          	 94237	 6.31	 1.50
163.393750	+54.585000	4246	 44    UMa	 94247	 5.10	 1.36
163.327917	+34.215000	4247	 46    LMi	 94264	 3.83	 1.04
163.494583	+43.190000	4248	 45Ome UMa	 94334	 4.71	-0.05
163.353750	 -2.255278	4249	          	 94363	 6.12	 0.90
163.128750	-57.240556	4250	          	 94367	 5.25	 0.16
163.372917	-20.138889	4251	          	 94388	 5.24	 0.47
163.387083	-15.445556	4252	          	 94386	 6.38	 1.16
163.432083	 -2.129167	4253	          	 94402	 5.45	 0.96
163.675833	+25.490833	4254	 48    LMi	 94480	 6.20	 0.28
163.574167	-13.758056	4255	          	 94481	 5.66	 0.83
163.742500	+34.034722	4256	          	 94497	 5.72	 1.01
163.373333	-58.853333	4257	          	 94510	 3.78	 0.95
163.935000	+33.506944	4258	 46    UMa	 94600	 5.03	 1.10
163.903333	+24.749722	4259	 54    Leo	 94601	 4.50	 0.01
163.905417	+24.748889	4260	 54    Leo	 94602	 6.30	
163.798333	-20.665000	4261	          	 94619	 6.44	 1.10
163.425000	-70.720278	4262	          	 94650	 5.99	-0.02
163.754167	-42.251111	4263	          	 94660	 6.11	-0.08
164.060417	+42.008333	4264	          	 94669	 6.03	 1.13
163.926667	 +0.736944	4265	 55    Leo	 94672	 5.91	 0.42
163.623333	-61.826667	4266	          	 94683	 5.93	 1.75
164.006250	 +6.185278	4267	 56    Leo	 94705	 5.81	 1.45
163.114583	-79.559444	4268	          	 94717	 6.33	 1.46
164.070417	+22.351667	4269	          	 94720	 6.14	 1.55
164.143333	+25.500000	4270	 50    LMi	 94747	 6.35	 1.03
163.821667	-60.516944	4271	          	 94776	 5.92	 1.08
164.986667	+77.770000	4272	          	 94860	 6.20	 0.97
164.179583	-37.137778	4273	   Iot Ant	 94890	 4.60	 1.03
164.282917	-50.765000	4274	          	 94985	 5.91	 0.18
164.824583	+51.882222	4275	          	 95057	 6.17	 1.38
164.451667	-59.731944	4276	          	 95109	 6.11	 1.10
164.866667	+40.430278	4277	 47    UMa	 95128	 5.05	 0.61
164.886667	+36.093056	4278	          	 95129	 6.00	 1.59
164.315417	-75.099722	4279	          	 95208	 6.13	 1.53
165.061250	+45.526111	4280	          	 95212	 5.47	 1.47
164.921250	+11.705833	4281	          	 95216	 6.55	 0.43
164.807917	-33.737222	4282	          	 95221	 5.71	 0.37
165.106667	+51.501944	4283	          	 95233	 6.43	
164.878750	-16.353889	4284	          	 95234	 5.89	 1.63
165.085833	+42.911389	4285	          	 95241	 6.02	 0.57
165.274167	+63.421111	4286	          	 95256	 6.39	 0.16
164.943750	-18.298889	4287	  7Alp Crt	 95272	 4.08	 1.09
165.210000	+39.212222	4288	 49    UMa	 95310	 5.08	 0.24
165.048333	-14.083333	4289	          	 95314	 5.88	 1.50
164.808333	-61.320278	4290	          	 95324	 6.16	-0.06
165.140000	 +3.617500	4291	 58    Leo	 95345	 4.84	 1.16
164.997500	-43.807222	4292	          	 95347	 5.81	-0.08
165.038750	-42.225833	4293	          	 95370	 4.39	 0.11
165.186667	 +6.101389	4294	 59    Leo	 95382	 4.99	 0.16
165.460417	+56.382500	4295	 48Bet UMa	 95418	 2.37	-0.02
165.035833	-51.817778	4296	          	 95429	 6.15	 0.18
165.238333	-15.792778	4297	          	 95441	 6.34	 1.18
165.170000	-31.839444	4298	          	 95456	 6.07	 0.52
165.457083	 -2.484722	4299	 61    Leo	 95578	 4.74	 1.62
165.582500	+20.179722	4300	 60    Leo	 95608	 4.42	 0.05
165.932083	+61.750833	4301	 50Alp UMa	 95689	 1.79	 1.07
165.601667	-26.831389	4302	          	 95698	 6.23	 0.31
165.810833	 -0.752500	4303	          	 95771	 6.14	 0.26
164.803750	-81.556111	4304	          	 95788	 6.71	 0.55
165.812083	-11.303611	4305	          	 95808	 5.50	 0.94
165.902500	 -0.000833	4306	 62    Leo	 95849	 5.95	 1.22
165.817083	-31.960833	4307	          	 95857	 6.46	 1.62
165.902083	-13.434444	4308	          	 95870	 6.34	 0.88
166.130000	+38.241389	4309	 51    UMa	 95934	 6.00	 0.16
166.254167	 +7.336111	4310	 63Chi Leo	 96097	 4.63	 0.33
166.130000	-47.679167	4311	          	 96113	 5.67	 0.24
164.807500	-84.593889	4312	   Eta Oct	 96124	 6.19	 0.11
166.225833	-35.804722	4313	          	 96146	 5.43	 0.03
166.332917	-27.293611	4314	   Chi1Hya	 96202	 4.94	 0.36
166.391667	-11.088889	4315	          	 96220	 6.09	 0.30
166.267500	-49.392500	4316	          	 96224	 6.13	-0.02
166.490000	-27.287778	4317	   Chi2Hya	 96314	 5.71	-0.06
166.524167	-51.212500	4318	          	 96407	 6.30	 0.95
166.725833	 +1.955556	4319	 65    Leo	 96436	 5.52	 0.97
166.661250	-28.727778	4320	          	 96441	 6.77	 0.04
166.614167	-50.956667	4321	          	 96484	 6.32	 1.16
166.915417	+23.323611	4322	 64    Leo	 96528	 6.46	 0.16
166.622083	-58.675278	4323	          	 96544	 6.02	 1.24
166.785000	-32.587222	4324	          	 96557	 6.59	 0.34
166.635000	-62.424167	4325	          	 96566	 4.61	 1.03
166.600833	-64.839722	4326	          	 96568	 6.41	 0.12
166.819167	-42.638611	4327	          	 96616	 5.15	 0.03
166.976667	-30.174722	4328	          	 96700	 6.54	 0.60
166.707917	-70.878056	4329	          	 96706	 5.57	-0.05
167.416250	+67.210278	4330	          	 96707	 6.06	 0.22
167.065833	-29.972778	4331	          	 96723	 6.49	 0.03
167.204583	+24.658333	4332	 67    Leo	 96738	 5.68	 0.06
167.329583	+36.309444	4333	          	 96813	 5.74	 1.51
167.182917	-28.080556	4334	          	 96819	 5.44	 0.07
167.415833	+44.498611	4335	 52Psi UMa	 96833	 3.01	 1.14
167.410417	+43.207500	4336	          	 96834	 5.89	 1.57
167.147500	-58.975000	4337	          	 96918	 3.91	 1.23
167.141667	-61.947222	4338	          	 96919	 5.13	 0.22
167.472500	-32.367500	4339	          	 97023	 5.81	 0.04
168.045833	+68.271944	4340	          	 97138	 6.40	
167.932083	+14.400278	4341	          	 97244	 6.30	 0.21
167.727917	-58.455278	4342	          	 97271	 6.88	-0.08
167.914583	-22.825833	4343	 11Bet Crt	 97277	 4.48	 0.03
168.185417	+54.894167	4344	          	 97302	 6.63	
168.134167	+35.813611	4345	          	 97334	 6.41	 0.61
168.061667	-32.433889	4346	          	 97393	 6.38	 1.70
168.126667	-18.500000	4347	   Psi Crt	 97411	 6.13	-0.01
168.144167	-21.749167	4348	          	 97428	 6.40	 1.38
167.872917	-71.436389	4349	          	 97472	 6.35	 1.37
168.137917	-49.101111	4350	          	 97495	 5.36	 0.18
168.417500	+41.088611	4351	          	 97501	 6.33	 1.15
168.150000	-60.317500	4352	          	 97534	 4.60	 0.55
168.237083	-49.736389	4353	          	 97550	 6.11	 1.06
168.311250	-44.372222	4354	          	 97576	 5.80	 1.66
168.188333	-64.169722	4355	          	 97583	 5.23	-0.06
168.440000	 -0.069722	4356	 69    Leo	 97585	 5.42	-0.03
168.527083	+20.523611	4357	 68Del Leo	 97603	 2.56	 0.12
168.507500	 +8.060556	4358	          	 97605	 5.79	 1.12
168.560000	+15.429444	4359	 70The Leo	 97633	 3.34	-0.01
168.413750	-53.231667	4360	          	 97651	 5.76	 1.32
168.378333	-59.619444	4361	          	 97670	 5.74	-0.10
168.800833	+23.095556	4362	 72    Leo	 97778	 4.63	 1.66
169.016667	+52.773056	4363	          	 97855	 6.50	 0.43
168.725000	-43.734167	4364	          	 97866	 6.21	 1.61
168.966250	+13.307500	4365	 73    Leo	 97907	 5.32	 1.20
168.990833	+12.844722	4366	          	 97937	 6.67	 0.27
169.174583	+49.476389	4367	          	 97989	 5.88	 1.08
169.165417	 -3.651667	4368	 74Phi Leo	 98058	 4.47	 0.21
169.242500	 -7.134722	4369	          	 98088	 6.14	 0.20
169.115417	-45.880000	4370	          	 98096	 6.31	 0.40
169.322500	 +2.010556	4371	 75    Leo	 98118	 5.18	 1.52
169.299167	-38.014444	4372	          	 98161	 6.27	 0.10
169.413333	-34.737222	4373	          	 98221	 6.45	 0.40
169.545417	+31.529167	4374	 53Xi  UMa	 98230	 4.87	
169.545833	+31.529167	4375	 53Xi  UMa	 98231	 4.41	 0.59
169.429167	-36.534444	4376	          	 98233	 6.68	 0.98
169.619583	+33.094167	4377	 54Nu  UMa	 98262	 3.48	 1.40
169.587500	+11.984722	4378	          	 98280	 6.66	 0.07
169.329167	-67.823611	4379	          	 98292	 6.06	 1.76
169.782917	+38.185556	4380	 55    UMa	 98353	 4.78	 0.12
169.729167	 +1.650556	4381	 76    Leo	 98366	 5.91	 1.04
169.835417	-14.778611	4382	 12Del Crt	 98430	 3.56	 1.12
170.224167	+67.100556	4383	          	 98499	 6.21	 1.01
169.818750	-64.582500	4384	          	 98560	 5.99	 0.46
169.642917	-79.668611	4385	          	 98617	 6.35	 0.26
170.284167	 +6.029444	4386	 77Sig Leo	 98664	 4.05	-0.06
169.901250	-75.142500	4387	          	 98672	 6.27	-0.03
170.455417	+57.075000	4388	          	 98673	 6.43	 0.15
170.016250	-71.994444	4389	          	 98695	 6.41	 0.05
170.251667	-54.491111	4390	   Pi  Cen	 98718	 3.89	-0.15
170.713750	+64.330556	4391	          	 98772	 6.02	 0.09
170.706667	+43.482778	4392	 56    UMa	 98839	 4.99	 0.99
170.596250	-44.645833	4393	          	 98892	 6.12	 0.92
170.825000	 +0.131667	4394	          	 98960	 6.05	 1.46
170.841250	-18.780000	4395	 13Lam Crt	 98991	 5.09	 0.42
170.802917	-36.164722	4396	          	 98993	 5.00	 1.46
170.487917	-77.608333	4397	          	 99015	 6.43	 0.20
170.783750	-56.779444	4398	          	 99022	 5.79	 0.01
170.981250	+10.529167	4399	 78Iot Leo	 99028	 3.94	 0.41
171.009583	 +1.407778	4400	 79    Leo	 99055	 5.39	 0.94
170.840833	-64.955000	4401	          	 99104	 5.11	-0.08
171.152500	-10.859444	4402	 14Eps Crt	 99167	 4.83	 1.56
171.092083	-42.669167	4403	          	 99171	 6.12	-0.18
171.245417	+11.430278	4404	          	 99196	 5.80	 1.38
171.220417	-17.683889	4405	 15Gam Crt	 99211	 4.08	 0.21
171.046250	-72.256667	4406	          	 99264	 5.59	 0.06
171.487917	+55.850556	4407	          	 99283	 5.75	
171.401667	+16.456389	4408	 81    Leo	 99285	 5.57	 0.36
171.372500	-36.063056	4409	          	 99322	 5.22	 0.99
171.458333	 +3.860000	4410	 80    Leo	 99329	 6.37	 0.33
171.387917	-37.747778	4411	          	 99333	 5.89	 1.54
171.606250	+33.450556	4412	          	 99373	 6.32	 0.43
171.430000	-63.972778	4413	          	 99453	 5.17	 0.50
171.688750	 +3.013056	4414	 83    Leo	 99491	 6.50	 0.79
171.647083	-61.115278	4415	          	 99556	 5.30	-0.08
171.789583	-12.356667	4416	 16Kap Crt	 99564	 5.94	 0.49
171.697083	-53.160000	4417	          	 99574	 5.81	 0.52
171.984167	 +2.856111	4418	 84Tau Leo	 99648	 4.95	 1.00
171.973750	 -1.700000	4419	          	 99651	 6.25	 1.04
171.993750	-35.328611	4420	          	 99712	 6.45	
172.269167	+61.778333	4421	          	 99747	 5.83	 0.36
172.267500	+39.336944	4422	 57    UMa	 99787	 5.31	 0.01
172.146250	-42.674167	4423	          	 99803	 5.08	-0.03
172.431250	+56.737500	4424	          	 99859	 6.28	 0.15
172.075833	-72.474444	4425	          	 99872	 6.09	 0.16
172.424583	+15.413333	4426	 85    Leo	 99902	 5.74	 1.32
172.553750	+54.361667	4427	          	 99913	 6.41	
172.410833	-24.463333	4428	          	 99922	 5.76	 0.07
172.960000	+81.127222	4429	          	 99945	 6.15	 0.24
172.604167	+46.657500	4430	          	 99967	 6.35	 1.27
172.629583	+43.173333	4431	 58    UMa	 99984	 5.94	 0.49
172.578750	 -3.003611	4432	 87    Leo	 99998	 4.77	 1.54
172.620833	+18.409722	4433	 86    Leo	100006	 5.52	 1.05
172.850833	+69.331111	4434	  1Lam Dra	100029	 3.84	 1.62
172.720417	+47.929167	4435	          	100030	 6.42	 0.88
172.792500	+48.789167	4436	          	100055	 6.56	 0.93
172.937083	+14.364444	4437	 88    Leo	100180	 6.20	 0.57
172.812500	-61.278333	4438	          	100198	 6.38	 0.52
173.086667	+61.082500	4439	          	100203	 5.48	 0.50
172.948333	-20.776667	4440	          	100219	 6.24	 0.54
172.942083	-59.442222	4441	   Omi1Cen	100261	 5.13	 1.08
172.953333	-59.515833	4442	   Omi2Cen	100262	 5.15	 0.49
173.067083	-29.263333	4443	          	100286	 5.81	 0.53
173.067917	-29.261111	4444	          	100287	 5.64	 0.53
173.097083	-26.746667	4445	          	100307	 6.16	 1.66
173.197917	 -7.827500	4446	          	100343	 5.95	 1.38
173.200417	-40.436389	4447	          	100378	 5.64	 1.58
173.082917	-66.962222	4448	          	100382	 5.90	 1.13
173.225417	-31.087222	4449	          	100393	 5.04	 1.58
173.250417	-31.857778	4450	   Xi  Hya	100407	 3.54	 0.94
173.310833	-16.280556	4451	          	100418	 6.05	 0.60
173.484583	+36.815556	4452	          	100470	 6.40	 1.05
173.405417	-40.586944	4453	          	100493	 5.39	 0.12
173.541667	+11.023611	4454	          	100518	 6.55	 0.18
173.591667	 +3.060000	4455	 89    Leo	100563	 5.77	 0.46
173.677083	+16.796944	4456	 90    Leo	100600	 5.95	-0.16
173.770417	+54.785278	4457	          	100615	 5.63	 1.02
173.622917	-32.831389	4458	          	100623	 5.98	 0.81
173.765833	+20.441389	4459	          	100655	 6.45	 1.01
173.690417	-54.264167	4460	          	100673	 4.62	-0.08
174.011667	+69.322778	4461	  2    Dra	100696	 5.20	 1.01
173.736667	-49.136667	4462	          	100708	 5.50	 1.04
173.805000	-47.372500	4463	          	100733	 5.71	 1.66
173.930833	+10.911111	4464	          	100740	 6.56	 0.13
174.074583	+27.781111	4465	          	100808	 5.80	 0.23
173.981667	-47.641667	4466	          	100825	 5.25	 0.25
173.945000	-63.019722	4467	   Lam Cen	100841	 3.13	-0.04
174.170417	 -9.802222	4468	 21The Crt	100889	 4.70	-0.08
174.145833	-33.570000	4469	          	100893	 5.74	 1.02
174.170000	-37.237778	4470	          	100911	 6.31	 0.06
174.237083	 -0.823889	4471	 91Ups Leo	100920	 4.30	 1.00
174.092917	-61.052222	4472	          	100929	 5.83	-0.09
174.255000	-32.988056	4473	          	100953	 6.29	 0.46
174.470833	+50.618333	4474	          	101013	 6.14	 1.07
174.252500	-61.283333	4475	          	101021	 5.15	 1.12
174.391250	-47.747222	4476	          	101067	 5.44	 1.24
174.585833	+43.625556	4477	 59    UMa	101107	 5.59	 0.33
174.540833	 +8.884167	4478	          	101112	 6.17	 1.08
174.315000	-75.896667	4479	   Pi  Cha	101132	 5.65	 0.35
174.639583	+46.834167	4480	 60    UMa	101133	 6.10	 0.38
174.705000	+64.346944	4481	          	101150	 6.46	
174.634167	+33.625556	4482	          	101151	 6.27	 1.32
174.615000	 +8.134167	4483	  1Ome Vir	101153	 5.36	 1.57
174.600417	 -2.436111	4484	          	101154	 6.22	 1.12
174.451667	-67.620278	4485	          	101162	 5.96	 1.02
174.687083	+45.108611	4486	          	101177	 6.44	 0.56
174.530417	-61.826389	4487	          	101189	 5.15	-0.02
174.667083	-13.201944	4488	 24Iot Crt	101198	 5.48	 0.52
174.751667	-24.721111	4489	          	101259	 6.42	 0.82
174.962917	-14.468611	4490	          	101369	 6.21	 0.00
174.960000	-16.620278	4491	          	101370	 6.19	 1.62
174.872500	-65.397778	4492	          	101379	 5.17	 0.80
175.114167	+57.970556	4493	          	101391	 6.37	-0.12
175.053333	-34.744722	4494	   Omi Hya	101431	 4.70	-0.07
175.196250	+21.352778	4495	 92    Leo	101484	 5.26	 0.98
175.262500	+34.201667	4496	 61    UMa	101501	 5.33	 0.72
175.177500	-53.968611	4497	          	101541	 5.96	 1.66
175.285000	-29.196389	4498	          	101563	 6.44	 0.66
175.223333	-62.090000	4499	          	101570	 4.94	 1.15
175.431667	+55.172500	4500	          	101604	 6.27	 1.49
175.392917	+31.746111	4501	 62    UMa	101606	 5.73	 0.43
175.332500	-43.095833	4502	          	101615	 5.55	
175.433333	-32.499722	4503	          	101666	 5.22	 1.48
175.618333	+66.745000	4504	  3    Dra	101673	 5.30	 1.28
175.521667	+22.210833	4505	          	101688	 6.59	
175.514583	-20.293889	4506	          	101695	 6.22	 0.95
175.255000	-83.100000	4507	          	101782	 6.33	 1.08
175.863333	-37.190278	4508	          	101883	 5.98	 1.46
175.730833	-79.306389	4509	          	101917	 6.39	 0.90
175.979583	 -6.677222	4510	          	101933	 6.07	 0.96
175.880000	-62.489444	4511	          	101947	 5.03	 0.80
176.055000	+25.218333	4512	          	101980	 6.02	 1.53
175.970417	-62.878333	4513	          	101995	 6.10	 0.06
176.190833	-18.350833	4514	 27Zet Crt	102070	 4.73	 0.97
176.321250	 +8.258333	4515	  2Xi  Vir	102124	 4.85	 0.18
176.302500	-49.069722	4516	          	102150	 6.26	 1.17
176.465000	 +6.529444	4517	  3Nu  Vir	102212	 4.03	 1.51
176.512500	+47.779444	4518	 63Chi UMa	102224	 3.71	 1.18
176.432917	-45.690000	4519	          	102232	 5.29	-0.12
176.401667	-66.728611	4520	   Lam Mus	102249	 3.64	 0.16
176.731667	+55.628333	4521	          	102328	 5.27	 1.27
176.628333	-61.178333	4522	          	102350	 4.11	 0.90
176.629583	-40.500556	4523	          	102365	 4.91	 0.66
176.779167	-35.906944	4524	          	102397	 6.17	 0.96
176.815417	-30.286944	4525	          	102438	 6.48	 0.68
